sID,ev_netsize,flood_netsize,tot_ev_units,tot_fl_units,dedicated.staffing,centralized.staffing,grantwriter_dummy,funding_external,funding_internal,med_hh_income_2019,total_pop2019.x,genrev2017.pc.dollars,pct_dem_2016
72715770,2,13,4,2,1,1,0,0,1,153023,35183,2516.868942386948,21.13265
72715772,1,1,2,4,0,0,0,0,0,52351,77503,1887.1914635562493,35.56086
72715811,0,1,4,5,0,0,1,0,1,31128,29400,771.0884353741496,20.59496
72715817,15,10,8,3,1,1,0,1,1,76011,20034,2265.3988220025954,70.16583
72715819,1,1,5,4,0,0,0,0,1,57882,20427,1129.926078229794,33.95082
72715825,1,0,5,8,1,1,0,0,1,58511,133562,2853.9479792156453,38.48059
72715827,2,5,3,5,1,1,0,0,1,53938,21210,1863.8378123526638,33.43091
72715830,0,0,0,1,0,0,1,0,0,32977,27930,1455.3526673827425,24.03126
72715831,5,4,6,4,1,0,1,1,1,50962,172622,1818.5978612227873,16.25954
72715836,0,0,3,5,1,1,1,0,1,108967,23731,3133.8755214698076,52.11649
72715845,0,0,2,3,0,0,1,0,0,62685,24440,933.8379705400982,33.43547
72715864,0,3,5,3,1,1,1,0,1,54648,114230,1405.5414514575855,22.59311
72715865,6,0,5,6,1,1,1,1,1,50103,201013,1797.8389457398278,25.81229
72715867,1,1,2,3,0,0,0,0,0,82461,44303,2240.4351849761865,23.85849
72715872,7,0,11,8,1,1,1,1,1,60676,200567,3242.866473547493,9.377818
72715877,3,5,4,5,1,1,1,1,1,123477,24523,759.8173143579496,35.18393
72715878,4,7,9,3,1,0,1,0,0,59878,52882,2394.1794939677015,53.16282
72715881,0,0,0,2,0,0,0,1,0,47861,32579,1526.0443844194115,35.954
72715885,6,2,2,2,1,1,0,1,1,40265,102026,2180.4147962284123,21.13945
72715886,1,4,2,2,0,0,0,0,0,94132,23767,1014.6421508814742,24.27938
72715890,1,4,3,6,1,0,0,1,1,89969,99357,1613.7463892830904,21.85524
72715892,0,0,1,3,1,0,0,0,1,72539,58113,773.4413986543458,20.19654
72715893,13,1,7,1,1,1,NA,1,1,57459,1700000,1914.5647058823529,26.46614
72715895,3,5,7,7,1,1,1,0,1,106899,27128,1131.4508994396933,61.6207
72715899,3,5,5,7,0,0,0,1,1,42222,130250,6495.454894433781,51.17914
